Gene,GeneName,Type,miRNA,Phenotypes
1700030J22Rik,Uncharacterized protein,,miR-330-3p,increased circulating glucose level
2210408I21Rik,RIKEN cDNA 2210408I21 gene,,miR-3969; miR-30d-3p; miR-374b-3p; miR-30a-3p; miR-30e-3p; miR-146b-3p,increased total body fat amount; impaired glucose tolerance
3425401B19Rik,,,miR-23b-3p; miR-23a-3p,decreased lean body mass
4930447C04Rik,Six6os1 protein,,miR-3473f,increased total body fat amount
A830018L16Rik,A830018L16Rik protein,,miR-25-3p; miR-3473f; miR-92b-3p; miR-21a-3p; miR-183-3p; let-7f-2-3p; miR-21b,increased fasting circulating glucose level
Aak1,AP2-associated protein kinase 1,Kinase,miR-7222-3p; miR-3473e; miR-3969; miR-3473b; miR-743b-3p; miR-672-3p; miR-301a-3p; miR-93-3p; miR-200b-3p; let-7b-3p; miR-204-3p; miR-203-3p; miR-200c-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-429-3p; miR-21b; miR-677-3p; miR-130b-3p; miR-486a-3p; miR-139-3p; miR-100-3p; miR-22-3p; miR-468-3p; miR-486b-3p; miR-191-3p; miR-125b-2-3p; let-7a-2-3p,impaired glucose tolerance
Aasdhppt,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Enzyme,miR-30d-3p; miR-205-3p; let-7f-2-3p; miR-30a-3p; miR-30e-3p,improved glucose tolerance
Abcc5,ATP-binding cassette sub-family C member 5,Transporter,miR-301a-3p; miR-672-3p; let-7g-3p; miR-130b-3p; miR-741-3p; let-7a-2-3p,impaired glucose tolerance
Abcd3,ATP-binding cassette sub-family D member 3,Transporter,let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-100-3p,increased lean body mass; improved glucose tolerance
Abhd14a,Protein ABHD14A,Enzyme,miR-203-3p,improved glucose tolerance
Abhd16a,Phosphatidylserine lipase ABHD16A,Enzyme,miR-21a-3p,increased lean body mass
Abhd8,Protein ABHD8,Enzyme,let-7g-3p,increased total body fat amount
Abi2,Abl interactor 2,,miR-21a-3p; miR-23b-3p; miR-382-3p; miR-204-3p; miR-23a-3p; miR-652-3p,increased fasting circulating glucose level
Ablim1,Actin-binding LIM protein 1,,miR-3473d; miR-93-3p; miR-10b-3p,increased lean body mass
Abtb1,Ankyrin repeat and BTB/POZ domain-containing protein 1,Translation regulator,miR-100-3p,increased fasting circulating glucose level
Acbd5,Acyl-CoA-binding domain-containing protein 5,,miR-301a-3p; miR-142a-3p; miR-96-3p; miR-130b-3p; miR-340-3p,increased lean body mass; improved glucose tolerance
Acoxl,Acyl-coenzyme A oxidase-like protein,Enzyme,miR-204-3p,improved glucose tolerance
Acsl4,Long-chain-fatty-acid--CoA ligase 4,Enzyme,miR-301a-3p; let-7g-3p; miR-130b-3p; miR-669e-3p,increased total body fat amount
Acyp1,Acylphosphatase-1,Enzyme,miR-200b-3p; let-7b-3p; miR-200c-3p; miR-429-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p,increased lean body mass; increased circulating glucose level
Adam32,Disintegrin and metalloproteinase domain-containing protein 32,,miR-93-3p,increased total body fat amount
Adamts15,A disintegrin and metalloproteinase with thrombospondin motifs 15,Peptidase,miR-3470a; miR-152-3p; miR-148a-3p; miR-203-3p; miR-148b-3p,increased circulating insulin level
Adamts16,A disintegrin and metalloproteinase with thrombospondin motifs 16,,miR-3473d; miR-29a-3p; miR-29c-3p,increased total body fat amount
Adcy1,Adenylate cyclase type 1,Enzyme,miR-1291; miR-3470a; miR-3473f; miR-3473e; miR-3473b; miR-301a-3p; miR-547-3p; miR-382-3p; miR-23b-3p; miR-21a-3p; let-7b-3p; miR-23a-3p; miR-222-3p; let-7c-2-3p; let-7a-1-3p; miR-221-3p; miR-677-3p; miR-130b-3p; miR-669e-3p,improved glucose tolerance
Adcy3,Adenylate cyclase type 3,Enzyme,miR-25-3p; miR-7222-3p; miR-3969; miR-92b-3p; miR-125a-3p,increased total body fat amount
Adcy9,Adenylate cyclase type 9,Enzyme,miR-881-3p; miR-182-3p; miR-142a-3p; miR-200a-3p; miR-141-3p,increased circulating insulin level
Adgrf5,Adhesion G protein-coupled receptor F5,G-protein coupled receptor,miR-222-3p; miR-221-3p,impaired glucose tolerance
Adora1,Adenosine receptor A1,G-protein coupled receptor,miR-191-3p,increased lean body mass
Adora2b,Adenosine receptor A2b,G-protein coupled receptor,miR-204-3p; miR-27a-3p; miR-27b-3p,increased fasting circulating glucose level
Adpgk,ADP-dependent glucokinase,Kinase,miR-1291; miR-3473e; miR-3473b; miR-672-3p; miR-935; miR-200a-3p; let-7g-3p; miR-206-3p; miR-141-3p,increased lean body mass
Adra2a,Alpha-2A adrenergic receptor,G-protein coupled receptor,miR-23b-3p; miR-23a-3p; miR-205-3p,improved glucose tolerance
Afap1l2,Actin filament-associated protein 1-like 2,,miR-743b-3p; miR-203-3p; miR-486a-3p; miR-486b-3p,improved glucose tolerance
Agl,Glycogen debranching enzyme (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debrancher),Enzyme,miR-672-3p,increased lean body mass; impaired glucose tolerance
Agpat4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,Enzyme,miR-672-3p; miR-29a-3p; miR-29c-3p,increased total body fat amount; increased fasting circulating glucose level
Ahdc1,Transcription factor Gibbin,Transcription regulator,miR-881-3p; miR-3473f; miR-547-3p; miR-152-3p; miR-150-3p; miR-148a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-486a-3p; miR-148b-3p; miR-486b-3p; let-7a-2-3p,increased total body fat amount
Ahnak,AHNAK nucleoprotein,,miR-96-3p,improved glucose tolerance
Aifm3,Apoptosis-inducing factor 3,Enzyme,miR-204-3p,increased fasting circulating glucose level
Akap13,A-kinase anchor protein 13,,miR-7222-3p; miR-547-3p; miR-29a-3p; let-7b-3p; miR-143-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p; miR-486a-3p; miR-677-3p; miR-29c-3p; miR-139-3p; miR-486b-3p,improved glucose tolerance
Akap9,A-kinase anchor protein 9,,miR-30d-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-205-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Akt2,RAC-beta serine/threonine-protein kinase,Kinase,miR-21a-3p,increased lean body mass; increased circulating glucose level
Aldh2,"Aldehyde dehydrogenase, mitochondrial",Enzyme,miR-93-3p,increased lean body mass
Alg2,Programmed cell death protein 6,Enzyme,miR-125a-3p; miR-200b-3p; miR-204-3p; miR-200c-3p; miR-205-3p; miR-429-3p,increased circulating insulin level
Alg9,"Alpha-1,2-mannosyltransferase ALG9",Enzyme,miR-30d-3p; miR-30a-3p; miR-30e-3p,increased total body fat amount
Alpk2,Alpha-protein kinase 2,Kinase,miR-672-3p,increased total body fat amount
Amfr,E3 ubiquitin-protein ligase AMFR,Transmembrane receptor,miR-192-3p; miR-200b-3p; miR-21a-3p; miR-200c-3p; miR-429-3p,increased lean body mass
Ampd3,AMP deaminase 3,Enzyme,let-7g-3p; miR-143-3p; miR-27a-3p; miR-27b-3p,increased lean body mass
Ankhd1,Ankyrin repeat and KH domain containing 1,,miR-23b-3p; let-7b-3p; miR-23a-3p; let-7g-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p; miR-125b-2-3p,increased circulating insulin level
Ankib1,Ankyrin repeat and IBR domain-containing protein 1,Transcription regulator,miR-881-3p; miR-3473f; miR-301a-3p; miR-30d-3p; miR-21a-3p; miR-222-3p; miR-205-3p; miR-206-3p; miR-221-3p; miR-21b; miR-130b-3p; miR-30a-3p; miR-30e-3p; miR-125b-2-3p,increased fasting circulating glucose level
Ankrd10,Ankyrin repeat domain-containing protein 10,Transcription regulator,miR-301a-3p; let-7g-3p; miR-130b-3p,increased total body fat amount
Ankrd13a,Ankyrin repeat domain-containing protein 13A,,miR-22-3p,increased total body fat amount
Ap1ar,Adaptor-related protein complex 1 associated regulatory protein,,miR-382-3p,increased lean body mass
Ap1g1,AP-1 complex subunit gamma-1,,miR-3470a; miR-301a-3p; miR-935; miR-30d-3p; miR-29a-3p; miR-21a-3p; miR-206-3p; miR-205-3p; miR-130b-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p,increased total body fat amount
Ap3s1,AP-3 complex subunit sigma-1,Transporter,miR-3473d; miR-547-3p; miR-935; miR-182-3p; miR-200b-3p; miR-21a-3p; miR-200c-3p; miR-429-3p; let-7f-2-3p; miR-532-3p; miR-21b; let-7a-2-3p,increased fasting circulating glucose level
Ap4e1,AP-4 complex subunit epsilon-1,,miR-7241-3p; miR-547-3p; miR-30d-3p; miR-29a-3p; miR-200b-3p; miR-152-3p; miR-148a-3p; miR-200c-3p; let-7g-3p; miR-429-3p; miR-205-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p; miR-148b-3p,increased lean body mass; impaired glucose tolerance
Apoe,Apolipoprotein E,Transporter,miR-3535; miR-3473e; miR-3473b,increased total body fat amount
Arel1,Apoptosis-resistant E3 ubiquitin protein ligase 1,Enzyme,miR-743b-3p; let-7g-3p; miR-468-3p; miR-330-3p; miR-211-3p,increased fasting circulating glucose level
Arhgap17,Rho GTPase-activating protein 17,,miR-3473f; miR-205-3p; miR-708-3p,improved glucose tolerance
Arhgap21,Rho GTPase-activating protein 21,,miR-301a-3p; miR-672-3p; miR-152-3p; miR-148a-3p; miR-130b-3p; miR-27a-3p; miR-148b-3p; miR-669e-3p; miR-27b-3p; miR-125b-2-3p,increased total body fat amount
Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,Enzyme,let-7a-2-3p,increased lean body mass
Arid3a,AT-rich interactive domain-containing protein 3A,Transcription regulator,miR-145a-3p; let-7a-2-3p,increased circulating insulin level
Arid4b,AT-rich interactive domain-containing protein 4B,Transcription regulator,miR-881-3p; miR-3473f; miR-672-3p; miR-301a-3p; miR-200b-3p; let-7b-3p; miR-183-3p; let-7g-3p; miR-200c-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-429-3p; miR-205-3p; miR-21b; miR-130b-3p; let-7a-2-3p,increased lean body mass
Arl8b,ADP-ribosylation factor-like protein 8B,Enzyme,miR-672-3p; miR-152-3p; miR-23b-3p; miR-148a-3p; miR-23a-3p; miR-203-3p; miR-21b; miR-470-3p; miR-148b-3p; miR-125b-2-3p; let-7a-2-3p,increased fasting circulating glucose level
Arsj,Arylsulfatase J,Enzyme,miR-3473f; miR-21b,increased lean body mass
Asb7,Ankyrin repeat and SOCS box protein 7,,miR-142a-3p; miR-183-3p; let-7g-3p,increased fasting circulating glucose level
Ascc3,Activating signal cointegrator 1 complex subunit 3,Enzyme,miR-23b-3p; miR-23a-3p,increased total body fat amount
Asf1a,Histone chaperone ASF1A,,miR-200b-3p; miR-23b-3p; let-7b-3p; miR-23a-3p; miR-200c-3p; miR-374b-3p; miR-429-3p; let-7c-2-3p; let-7a-1-3p,increased circulating insulin level
Ash1l,Histone-lysine N-methyltransferase ASH1L,Enzyme,miR-672-3p; miR-142a-3p; miR-200a-3p; miR-206-3p; miR-470-3p; let-7a-2-3p; miR-141-3p; miR-330-3p,increased fasting circulating glucose level
