Gene,GeneName,Type,miRNA,Phenotypes
Csmd3,CUB and sushi domain-containing protein 3,Enzyme,miR-25-3p; miR-92b-3p; miR-935; miR-200b-3p; miR-182-3p; miR-200c-3p; miR-203-3p; miR-429-3p; miR-21b,increased lean body mass
Csnk1g2,Casein kinase I isoform gamma-2,Kinase,let-7g-3p,increased circulating glucose level
Ctbs,Di-N-acetylchitobiase,Enzyme,miR-1981-3p; miR-470-3p,impaired glucose tolerance
Ctdspl,CTD small phosphatase-like protein,,miR-3473f,impaired glucose tolerance
Ctdspl2,CTD small phosphatase-like protein 2,Phosphatase,miR-203-3p; miR-22-3p; let-7a-2-3p; miR-669e-3p,increased lean body mass
Ctif,CBP80/20-dependent translation initiation factor,,miR-22-3p,improved glucose tolerance
Ctsm,Cathepsin M,Peptidase,miR-142a-3p; miR-203-3p,increased fasting circulating glucose level
Cul4a,Cullin-4A,Enzyme,miR-672-3p; miR-374b-3p,increased fasting circulating glucose level
Cyb561a3,Lysosomal membrane ascorbate-dependent ferrireductase CYB561A3,Enzyme,miR-7222-3p; miR-146b-3p,increased fasting circulating glucose level
Cyba,Cytochrome b-245 light chain,Enzyme,miR-96-3p,increased lean body mass
Cygb,Cytoglobin,Transporter,miR-7222-3p,increased lean body mass
Cyp19a1,Aromatase,Enzyme,miR-203-3p,increased total body fat amount; increased fasting circulating glucose level
Cyp4b1,Cytochrome P450 4B1,Enzyme,miR-3473d; let-7a-2-3p,increased fasting circulating glucose level
Cyp7b1,Cytochrome P450 7B1,Enzyme,miR-30d-3p; miR-382-3p; miR-30a-3p; miR-30e-3p,impaired glucose tolerance
D430041D05Rik,RIKEN cDNA D430041D05 gene,,miR-1291; miR-743b-3p; miR-30d-3p; miR-93-3p; miR-29a-3p; miR-21a-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p; miR-330-3p,increased total body fat amount
D630045J12Rik,RIKEN cDNA D630045J12 gene,,miR-672-3p; miR-29a-3p; miR-205-3p; miR-29c-3p; miR-328-3p; miR-125b-2-3p,improved glucose tolerance
Daam2,Disheveled-associated activator of morphogenesis 2,,miR-3473f,increased fasting circulating glucose level
Dact3,Dapper homolog 3,,let-7a-2-3p,increased lean body mass; improved glucose tolerance
Dbnl,Drebrin-like protein,,miR-145a-3p; miR-10b-3p,increased circulating glucose level
Dclk2,Serine/threonine-protein kinase DCLK2,Kinase,miR-1981-3p; miR-743b-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p,increased lean body mass
Dcun1d3,DCN1-like protein 3,,miR-152-3p; miR-30d-3p; miR-148a-3p; miR-200a-3p; miR-203-3p; miR-148b-3p; miR-30a-3p; miR-30e-3p; miR-141-3p,increased lean body mass; improved glucose tolerance
Dcx,Neuronal migration protein doublecortin,,miR-3473d; miR-192-3p; miR-743b-3p; miR-29a-3p; miR-93-3p; miR-145a-3p; let-7b-3p; let-7g-3p; miR-200a-3p; miR-203-3p; let-7c-2-3p; let-7a-1-3p; miR-27a-3p; miR-29c-3p; miR-141-3p; miR-27b-3p,increased circulating insulin level
Ddhd1,Phospholipase DDHD1,Enzyme,miR-25-3p; miR-92b-3p,increased lean body mass
Ddi2,Protein DDI1 homolog 2,Transporter,miR-93-3p,impaired glucose tolerance
Dennd5b,DENN domain-containing protein 5B,,miR-192-3p; miR-743b-3p; miR-200b-3p; miR-23b-3p; miR-200c-3p; miR-200a-3p; miR-23a-3p; miR-429-3p; miR-205-3p; miR-330-3p; miR-141-3p,increased lean body mass; improved glucose tolerance
Depdc5,GATOR1 complex protein DEPDC5,,miR-145a-3p; miR-204-3p; let-7a-2-3p,increased total body fat amount; impaired glucose tolerance
Dgcr2,Integral membrane protein DGCR2/IDD,,miR-672-3p,impaired glucose tolerance
