Phenotype,Pathway,p-value (-log10),Genes
Glucose,PCP (Planar Cell Polarity) ,1.4,ATF2;FZD3;PFN1
Insulin,Orexin Signaling ,1.4,ADCY9;PRKD1
Insulin,Activation of kainate receptors upon glutamate binding,1.4,NCALD
Bodycomposition,IL-3 Signaling,1.39,AKT2;FOS;PPP3CA;PRKCH
Glucose,IGF-1 Signaling,1.39,AKT2;FOXO3;NEDD4;NRAS
Bodycomposition,Activin Inhibin Signaling ,1.38,AKT2;CCND2;FOS;FST;MAP3K1;PPARG;TCF7L2
Insulin,Docosahexaenoic Acid (DHA) Signaling,1.38,ADCY9;PRKD1
Bodycomposition,nNOS Signaling in Neurons,1.37,DLG2;PPP3CA;PRKCH
Bodycomposition,Inhibition of ARE-Mediated mRNA Degradation ,1.37,AKT2;CNOT4;CNOT7;PAPOLA;PPP2R2A;PPP2R5C
Bodycomposition,Deubiquitination,1.37,BECN1;IDE;INO80D;MYSM1;TNKS;USP12;USP13;USP15
Glucose,Beta-catenin independent WNT signaling,1.37,AP2A1;FZD3;GNGT2;PFN1;STK38;VANGL2
Glucose,Transcriptional Regulation by MECP2,1.37,CAMK2B;GAD2;PPARG
Glucose,UFMylation Signaling ,1.37,AKT2;EIF4G2;SLC7A11
Bodycomposition,Neddylation,1.36,DCUN1D3;EPAS1;FBXL3;FBXO11;KBTBD8;KLHL42;PUM2;UBE2D3
Bodycomposition,Glucose metabolism,1.36,ADPGK;NUP205;NUP37;PC
Insulin,CREB Signaling in Neurons,1.36,ADCY9;ELK1;PRKD1
Glucose,Transport of inorganic cations/anions and amino acids/oligopeptides,1.35,SLC1A4;SLC20A2;SLC26A2;SLC7A11
Bodycomposition,Senescence ,1.34,AKT2;CACNA2D2;CCND2;CDC27;E2F3;MCU;PPP2R2A;PPP2R5C;PPP3CA
Bodycomposition,Cyclins and Cell Cycle Regulation,1.34,CCND2;E2F3;PPP2R2A;PPP2R5C
Glucose,Epithelial Adherens Junction Signaling,1.34,AKT2;MYH10;NOTCH3;NRAS;PPP2R1B
Insulin,Triglyceride metabolism,1.34,LIPE
Insulin,Cardiac Hypertrophy Signaling,1.34,ADCY9;ELK1
Bodycomposition,HIF1α Signaling,1.33,AKT2;CAMK1;CAMK1D;NAA10;NCOA1;PPP3CA;PRKCH
Bodycomposition,TNFR1 Signaling,1.33,FADD;FOS;MAP3K1
Glucose,Gap Junction Signaling,1.33,ADCY1;AKT2;ATF2;CDKN1B;DBN1;LPAR1;NRAS;VDAC1
Bodycomposition,Metabolism of vitamin K,1.32,VKORC1L1
Bodycomposition,Intracellular oxygen transport,1.32,CYGB
Bodycomposition,Glutathione Biosynthesis,1.32,GCLC
Bodycomposition,Autism Signaling ,1.31,AKT2;BCKDHB;CACNA2D2;FZD3;GRM3;NEXMIF;NTRK2;TCF7L2;UBE3A
Glucose,NGF processing,1.31,PCSK5
Insulin,Fanconi Anemia ,1.31,USP1
Glucose,WNT/Ca+ ,1.3,ATF2;FZD3;NFAT5
Insulin,Circadian Rhythm Signaling,1.3,ADCY9;PRKD1
Insulin,Protein Ubiquitination ,1.3,DNAJC5G;USP1
Insulin,SUMOylation of ubiquitinylation proteins,1.3,PIAS2
Insulin,Resolution of Abasic Sites (AP sites),1.3,POLD3
