Gene,Gene Name,Phenotype,Parameter
Erlin1,Erlin-1,decreased lean body mass,Lean/Body weight
Esr2,Estrogen receptor beta,increased total body fat amount,Fat mass
Elk4,ETS domain-containing protein Elk-4,decreased lean body mass,Lean mass
Eif4g1,Eukaryotic translation initiation factor 4 gamma 1,increased total body fat amount,Fat mass
Exoc3,Exocyst complex component 3,increased lean body mass,Lean/Body weight
Extl1,Exostosin-like 1,increased total body fat amount,Fat mass
Fadd,FAS-associated death domain protein,increased total body fat amount,Fat mass
Fbf1,Fas-binding factor 1,increased total body fat amount,Fat/Body weight
Fbxo11,F-box only protein 11,increased lean body mass,Lean/Body weight
Fbxl3,F-box/LRR-repeat protein 3,decreased lean body mass,Lean mass
Frmd5,FERM domain-containing protein 5,increased total body fat amount,Fat mass
Slc40a1,Ferroportin,increased total body fat amount,Fat mass
Fgl1,Fibrinogen-like protein 1,increased total body fat amount,Fat mass
Fgf10,Fibroblast growth factor 10,increased total body fat amount,Fat mass
Fndc9,Fibronectin type III domain-containing protein 9,increased total body fat amount,Fat/Body weight
Fndc3a,Fibronectin type-III domain-containing protein 3A,increased total body fat amount,Fat/Body weight
Flnb,Filamin-B,increased total body fat amount,Fat/Body weight
Fshr,Follicle-stimulating hormone receptor,increased total body fat amount,Fat mass
Fst,Follistatin,increased total body fat amount,Fat mass
Foxn4,Forkhead box protein N4,increased total body fat amount,Fat/Body weight
Foxp1,Forkhead box protein P1,increased lean body mass,Lean/Body weight
Foxp2,Forkhead box protein P2,increased body weight,Body weight
Fnbp1l,Formin-binding protein 1-like,increased lean body mass,Lean/Body weight
Fzd3,Frizzled-3,increased total body fat amount,Fat/Body weight
Gpatch4,G patch domain-containing protein 4,decreased lean body mass,Lean/Body weight
Ccnd2,G1/S-specific cyclin-D2,increased lean body mass,Lean/Body weight
G2e3,G2/M phase-specific E3 ubiquitin-protein ligase,increased total body fat amount,Fat mass
Gabra2,Gamma-aminobutyric acid receptor subunit alpha-2,increased lean body mass,Lean/Body weight
Gabrg3,Gamma-aminobutyric acid receptor subunit gamma-3,increased total body fat amount,Fat mass
Gdap2,Ganglioside-induced differentiation-associated protein 2,increased lean body mass,Lean mass
Gkn2,Gastrokine-2,increased lean body mass,Lean mass
Depdc5,GATOR1 complex protein DEPDC5,increased total body fat amount,Fat mass
Gzf1,GDNF-inducible zinc finger protein 1,increased total body fat amount,Fat mass
Gmds,"GDP-mannose 4,6 dehydratase",increased total body fat amount,Fat mass
Gcgr,Glucagon receptor,increased lean body mass,Lean mass
Gmeb2,Glucocorticoid modulatory element-binding protein 2,increased lean body mass,Lean/Body weight
Slc37a1,Glucose-6-phosphate exchanger SLC37A1,increased total body fat amount,Fat/Body weight
Grik1,"Glutamate receptor ionotropic, kainate 1",increased lean body mass,Lean/Body weight
Grik4,"Glutamate receptor ionotropic, kainate 4",increased total body fat amount,Fat/Body weight
Gclc,Glutamate--cysteine ligase catalytic subunit,increased lean body mass,Lean Mass
Qrsl1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",increased total body fat amount,Fat/Body weight
Gstm6,Glutathione S-transferase Mu 6,increased total body fat amount,Fat/Body weight
Gsto1,Glutathione S-transferase omega-1,increased total body fat amount,Fat/Body weight
Gys2,"Glycogen [starch] synthase, liver",increased total body fat amount,Fat mass
Gsk3a,Glycogen synthase kinase-3 alpha,increased total body fat amount,Fat mass
Gmps,GMP synthase [glutamine-hydrolyzing],increased total body fat amount,Fat/Body weight
Bpnt2,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase",increased body weight,Body Weight
Pigz,GPI mannosyltransferase 4,increased total body fat amount,Fat/Body weight
Gpr15,G-protein coupled receptor 15,increased total body fat amount,Fat mass
Gpr22,G-protein coupled receptor 22,increased lean body mass,Lean/Body weight
Gpr55,G-protein coupled receptor 55,increased lean body mass,Lean mass
Greb1l,GREB1-like protein,increased total body fat amount,Fat mass
Gas7,Growth arrest-specific protein 7,increased total body fat amount,Fat/Body weight
Ghrhr,Growth hormone-releasing hormone receptor,increased total body fat amount,Fat mass
Gimap6,GTPase IMAP family member 6,increased total body fat amount,Fat/Body weight
C9orf72,Guanine nucleotide exchange factor C9orf72 homolog,increased lean body mass,Lean/Body weight
Gng13,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13,increased total body fat amount,Fat mass
Gngt2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,increased lean body mass,Lean mass
Gnaz,Guanine nucleotide-binding protein G(z) subunit alpha,increased total body fat amount,Fat mass
Gnl1,Guanine nucleotide-binding protein-like 1,increased total body fat amount,Fat mass
Preb,Guanine nucleotide-exchange factor SEC12,increased total body fat amount,Fat/Body weight
Ush1c,Harmonin,increased lean body mass,Lean/Body weight
Hsf2bp,Heat shock factor 2-binding protein,increased body weight,Body Weight
Hsf5,Heat shock factor protein 5,increased total body fat amount,Fat/Body weight
Helq,Helicase POLQ-like,increased total body fat amount,Fat mass
Nhlh2,Helix-loop-helix protein 2,increased total body fat amount,Fat mass
Hgsnat,Heparan-alpha-glucosaminide N-acetyltransferase,increased lean body mass,Lean mass
Hdgfl3,Hepatoma-derived growth factor-related protein 3,increased total body fat amount,Fat/Body weight
Hkdc1,Hexokinase HKDC1,increased total body fat amount,Fat mass
Pde8a,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",increased total body fat amount,Fat/Body weight
Mettl18,Histidine protein methyltransferase 1 homolog,increased lean body mass,Lean/Body weight
Mettl23,Histone-arginine methyltransferase METTL23,increased lean body mass,Lean mass
Kmt2a,Histone-lysine N-methyltransferase 2A,increased lean body mass,Lean/Body weight
Ehmt1,Histone-lysine N-methyltransferase EHMT1,increased lean body mass,Lean/Body weight
Mecom,Histone-lysine N-methyltransferase MECOM,increased lean body mass,Lean/Body weight
Nsd3,Histone-lysine N-methyltransferase NSD3,increased total body fat amount,Fat mass
Setd1a,Histone-lysine N-methyltransferase SETD1A,increased lean body mass,Lean Mass
Setd1b,Histone-lysine N-methyltransferase SETD1B,increased lean body mass,Lean/Body weight
Bbx,HMG box transcription factor BBX,increased total body fat amount,Fat Mass
Emx1,Homeobox protein EMX1,increased lean body mass,Lean/Body weight
Hspbap1,HSPB1-associated protein 1,increased lean body mass,Lean mass
Irgm1,Immunity-related GTPase family M protein 1,increased lean body mass,Lean/Body weight
Kmt2e,Inactive histone-lysine N-methyltransferase 2E,increased total body fat amount,Fat/Body weight
Pld5,Inactive phospholipase D5,decreased lean body mass,Lean mass
Rhbdf2,Inactive rhomboid protein 2,increased total body fat amount,Fat mass
Rnase10,Inactive ribonuclease-like protein 10,increased total body fat amount,Fat mass
Peak1,Inactive tyrosine-protein kinase PEAK1,increased lean body mass,Lean mass
Ino80d,INO80 complex subunit D,increased lean body mass,Lean mass
Irag1,"Inositol 1,4,5-triphosphate receptor associated 1",increased total body fat amount,Fat/Body weight
Inpp5a,Inositol polyphosphate-5-phosphatase A,increased total body fat amount,Fat/Body weight
Ide,Insulin-degrading enzyme,increased lean body mass,Lean Mass
Ints12,Integrator complex subunit 12,decreased lean body mass,Lean mass
Itgae,Integrin alpha-E,decreased lean body mass,Lean mass
Ifitm1,Interferon-induced transmembrane protein 1,increased lean body mass,Lean mass
Irak2,Interleukin-1 receptor-associated kinase-like 2,increased total body fat amount,Fat/Body weight
Il31ra,Interleukin-31 receptor subunit alpha,increased total body fat amount,Fat mass
Vps13b,Intermembrane lipid transfer protein VPS13B,increased total body fat amount,Fat mass
Iqcb1,IQ calmodulin-binding motif-containing protein 1,increased lean body mass,Lean mass
Iqsec3,IQ motif and SEC7 domain-containing protein 3,increased total body fat amount,Fat mass
